,Correlation,p-value,L1 Loss
65c0c27508531efc5dadb3905e787256,0.62,0.0,0.82
cf5ff2fd099755a659b1806cd690fa10,0.337,0.001,0.86
b354375cda918a41494e42807b10e4a1,0.721,0.0,0.77
343893f4ec72ccbd2954b74ae959afd7,0.523,0.0,0.9
1e7d4df562223abf5d357db36ee559db,0.574,0.0,0.94
cbb0e0443313ac702abc661da0b9b272,0.618,0.0,0.81
9c1ddc13d3153999c0cd7c7d6f37bd85,0.288,0.004,1.02
e78fbd196578612b739e4e78063ab0fa,0.517,0.0,0.77
a743000cecdf705a83ac14205b78f5c6,0.43,0.0,0.61
006dd2ba64cabcbb44b2a0ccec4fef59,0.555,0.0,0.84
c72d1fefa1b7c3827f91dcea6eea3b14,0.389,0.0,0.9
7e5b70f00d276c1b9bc6de84e3541132,0.122,0.228,1.13
9f74146c4b0ec72b6a5a2fac3fa64edc,0.654,0.0,0.94
96f45e3987e0d333a7b590b57249a4fc,0.434,0.0,1.22
5be92f18d9e24c6be26f5e4e368c66f4,0.498,0.0,0.75
ad463bf3519f192cbcedf78017f0df0c,0.585,0.0,0.93
31500cfef481ce078a3c09ddddfdf6c6,0.379,0.0,0.95
f3737f450e99f912f9694f552eac03c2,0.286,0.004,0.61
cefba9ed2e3b1d035213ba94ed44d0a1,0.545,0.0,1.11
8425a60311f83f7990fd6dec75f1c084,0.58,0.0,1.09
d57f9e7dd5b660b1b04cc1fd1af15f24,0.205,0.041,1.09
d76989d8d58153341a09c0b951eb9f91,0.554,0.0,0.75
f6acdac2b90af71450987eae42936a14,0.685,0.0,0.71
b691013e10222581517c833325288b25,0.229,0.022,1.25
654cbc6653475f7104b23531d36d63e8,0.406,0.0,0.88
15d15d6c6832abb8d4fa21d28eeccfba,0.648,0.0,0.7
ec9af9e708d26f8ed1fac9be45b712ef,0.438,0.0,0.64
87741ffd25a1879d39cab878ae3986ce,0.548,0.0,0.8
5532642937eb3497a43e15dbb23a9d2d,0.266,0.007,1.05
e80aa9d90d4beb533ca829afb7122a68,0.534,0.0,1.17
eb46eb264a0294565a463d0ff423cbdf,0.425,0.0,1.02
49ce6d817f587b0e45d6089d25e555b6,0.384,0.0,0.68
af3516b73437586c72d1801d38c9b473,0.262,0.008,0.94
0ca1f64f4be5bd1e4362f8ae80089e14,0.27,0.007,0.86
c61845a706059113ea28e893dba2ef0c,0.55,0.0,0.65
d2ebb35e85aef53669010eaba7e4204c,0.46,0.0,0.91
9d73ecd9cf815d8bc340cd1bb8e94cfb,0.384,0.0,1.17
f68268e212bc1ac0dff21524f6f73b3d,0.345,0.0,0.99
bd0622de626679cbb58da1c6088f7fb9,0.385,0.0,0.78
