Correlation,p-value,percentile,R1,R2,R3,R4,R5,R6,R7,R8,I1,I2,I3,I4,I5,I6,I7,I8,A1,A2,A3,A4,A5,A6,A7,A8,S1,S2,S3,S4,S5,S6,S7,S8,E1,E2,E3,E4,E5,E6,E7,E8,C1,C2,C3,C4,C5,C6,C7,C8
0.416025,0.003272,0.5761763059426652,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,5.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
0.425347,0.00258,0.5931248342712354,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
0.434761,0.002016,0.6100733625998055,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,1.0,1.0,5.0,3.0,5.0,3.0,1.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0
0.443528,0.001592,0.6270218909283757,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,1.0,3.0,5.0,1.0,3.0,5.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,1.0,2.0,4.0,1.0,4.0,2.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,4.0
0.452763,0.001233,0.6439704192569459,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,1.0,2.0,2.0,4.0
0.462037,0.000947,0.6609189475855161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,2.0,3.0,5.0,2.0,3.0,1.0,5.0,5.0,2.0,2.0,4.0,4.0,5.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
0.471328,0.000721,0.6778748416369582,2.0,1.0,4.0,2.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,4.0,2.0,3.0,5.0,1.0,5.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,2.0
0.480556,0.000546,0.6948307356884005,2.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,1.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0
0.489542,0.000414,0.7117645325712265,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,2.0,5.0,2.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0
0.499513,0.000301,0.7287277923455407,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
0.509203,0.000219,0.7456689549512389,5.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,5.0,2.0,3.0,1.0,1.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0
0.519281,0.000156,0.762617483279809,4.0,3.0,1.0,1.0,2.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,3.0,3.0,5.0,2.0,5.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0
0.52926,0.00011,0.7795660116083792,1.0,4.0,3.0,1.0,1.0,4.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,3.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.539634,7.6e-05,0.7965145399369494,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
0.55002,5.1e-05,0.8134630682655196,5.0,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0
0.561122,3.3e-05,0.8304115965940897,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.572868,2.1e-05,0.8473601249226599,3.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,5.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0
0.584673,1.3e-05,0.8643086532512301,3.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,1.0,2.0,3.0,1.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0
0.597102,7e-06,0.8812571815798003,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,3.0,5.0,2.0,5.0,1.0,4.0,4.0,5.0,3.0,3.0,5.0,4.0,1.0,5.0,3.0,1.0,1.0,2.0,1.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
0.61032,4e-06,0.8982057099083705,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,1.0,3.0,1.0,3.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.625063,2e-06,0.9151542382369405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,1.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.641567,1e-06,0.9321101322883828,3.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0
0.660619,0.0,0.949058660616953,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0
0.683666,0.0,0.9660071889455231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.718213,0.0,0.9829557172740933,2.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0
0.881816,0.0,0.9999042456026634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
